gen=0 bestFitness=0,000000
24,18706
1,706693
5,900987
24,52111
8,098447
6,1525
24,52111
24,52111
6,160666
5,900987
6,160666
6,1525
1,492555
6,1525
5,900987
24,52111
1,492555
5,900987
1,517564
5,900987
6,1525
1,492555
1,492555
5,900987
5,90898
5,900987
24,52111
6,1525
24,52111
24,52111
6,1525
24,52111
6,1525
24,18706
5,900987
24,52111
6,1525
24,52111
5,900987
24,52111
6,1525
6,1525
5,900987
24,52111
1,492555
5,900987
5,900987
24,52111
24,52111
29,32062
gen=0 bestFitness=0,000000
24,18706
1,706693
5,900987
24,52111
8,098447
6,1525
24,52111
24,52111
6,1525
5,900987
6,1525
6,160666
1,492555
6,160666
5,900987
24,52111
1,492555
5,900987
1,492555
5,900987
6,1525
1,492555
1,517564
5,900987
5,900987
5,90898
24,52111
6,160666
24,52111
24,52111
6,1525
24,52111
6,1525
24,18706
5,900987
24,52111
6,1525
24,52111
5,90898
24,52111
6,1525
6,1525
5,900987
24,52111
1,492555
5,900987
5,900987
24,18706
24,52111
29,47337
gen=1 bestFitness=29,473370
29,47337
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
5,900987
5,900987
6,1525
6,1525
6,1525
6,1525
24,52111
24,52111
24,52111
24,52111
2,000859
24,52111
24,52111
2,000859
2,000859
6,1525
6,1525
29,32062
29,32062
29,32062
29,45179
29,32062
5,900987
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
1,517564
24,52111
24,52111
gen=2 bestFitness=29,473370
24,18706
29,32062
29,32062
29,45179
24,52111
24,52111
24,52111
24,52111
24,52111
29,32062
29,32062
29,32062
29,47337
6,1525
6,1525
24,18706
24,52111
24,52111
24,18706
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
5,900987
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,18706
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
5,900987
5,900987
24,18706
24,52111
24,52111
24,52111
gen=3 bestFitness=29,473370
24,18706
24,52111
24,18706
24,52111
24,52111
5,90898
6,160666
24,52111
6,1525
6,1525
6,1525
6,1525
6,160666
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,18706
29,45179
29,45179
29,08338
29,45179
29,45179
29,45179
24,18706
24,18706
5,900987
24,52111
2,000859
24,52111
6,1525
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,18706
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
6,160666
6,160666
gen=4 bestFitness=29,451790
6,160666
24,52111
24,18706
24,52111
6,160666
6,1525
6,1525
2,000859
24,52111
24,52111
2,000859
2,000859
2,000859
24,18706
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,18706
24,52111
24,52111
24,52111
5,900987
5,900987
5,900987
5,900987
5,900987
24,52111
29,45179
29,45179
24,52111
24,52111
6,1525
6,1525
6,1525
6,1525
6,1525
6,1525
6,1525
6,1525
6,1525
6,1525
6,1525
gen=5 bestFitness=29,451790
24,18706
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,18706
24,18706
24,52111
24,52111
24,52111
24,18706
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,18706
24,52111
24,52111
6,1525
24,52111
24,52111
24,52111
24,52111
24,52111
29,45179
29,08338
29,45179
29,45179
29,45179
29,45179
6,160666
6,1525
6,1525
24,52111
2,000859
2,000859
24,52111
gen=6 bestFitness=29,451790
24,18706
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,18706
24,18706
24,52111
24,18706
6,1525
6,160666
24,52111
24,18706
24,52111
6,1525
24,52111
24,52111
24,18706
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,18706
24,52111
24,52111
29,47337
29,45179
29,45179
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
gen=7 bestFitness=29,473370
29,08338
29,32062
29,45179
24,52111
24,18706
24,52111
6,1525
24,52111
24,52111
6,1525
6,1525
5,900987
6,1525
29,32062
29,45179
29,08338
29,45179
29,45179
24,52111
22,72939
24,18706
24,52111
24,52111
5,90898
24,52111
24,18706
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,18706
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
gen=8 bestFitness=29,451790
24,18706
24,52111
24,52111
29,45179
29,32062
29,32062
29,45179
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
29,08338
6,1525
29,45179
29,32062
29,47337
29,32062
29,32062
29,08338
29,45179
29,45179
29,45179
29,45179
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
6,1525
6,1525
6,1525
6,1525
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
gen=9 bestFitness=29,473370
24,18706
6,1525
29,32062
29,32062
24,18706
29,45179
24,52111
29,45179
6,1525
6,1525
6,1525
6,1525
6,1525
6,1525
6,1525
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
6,1525
6,1525
6,1525
6,1525
6,1525
29,32062
29,32062
29,32062
6,1525
29,32062
29,32062
29,32062
29,32062
29,32062
29,32062
29,45179
29,45179
29,45179
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
gen=10 bestFitness=29,451790
24,18706
24,52111
24,52111
24,52111
24,52111
29,32062
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
6,1525
6,1525
6,1525
6,1525
29,32062
24,52111
29,32062
24,52111
24,52111
24,52111
29,32062
29,32062
29,32062
29,32062
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
29,08338
29,45179
29,45179
29,45179
29,45179
29,45179
24,52111
24,52111
24,52111
24,52111
24,52111
6,1525
6,1525
gen=11 bestFitness=29,451790
29,08338
29,45179
29,45179
29,32062
24,52111
29,08338
29,45179
29,45179
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
6,1525
6,1525
6,1525
6,1525
6,1525
24,52111
24,52111
24,52111
29,45179
29,45179
24,52111
24,52111
24,18706
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
gen=12 bestFitness=29,451790
24,18706
24,18706
24,52111
24,52111
24,52111
24,52111
24,52111
29,45179
6,1525
6,160666
24,52111
29,45179
29,45179
29,45179
29,45179
29,45179
29,32062
29,32062
29,32062
29,32062
29,32062
29,32062
24,18706
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
29,45179
29,45179
29,45179
29,45179
29,45179
29,4746
29,45179
29,45179
29,45179
29,08338
29,45179
29,45179
29,45179
29,45179
6,1525
6,1525
6,1525
6,1525
24,52111
24,52111
24,18706
gen=13 bestFitness=29,474600
24,18706
24,52111
24,52111
29,45179
29,45179
29,08338
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,18706
24,52111
24,52111
29,32062
29,47337
29,32062
29,32062
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,18706
24,52111
24,52111
5,900987
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
24,52111
29,45179
24,18706
24,52111
24,18706
24,52111
24,52111
6,1525
6,1525
6,1525
gen=14 bestFitness=29,473370
24,18706
24,52111
24,52111
5,90898
24,52111
24,52111
24,52111
24,52111
